,source,target
668,222,8774
669,222,6045
670,222,6261
671,223,3759
672,223,9204
673,223,891
674,223,8436
675,224,5841
676,224,6148
677,225,2725
678,225,5834
679,225,4743
680,225,1399
681,226,2838
682,226,4021
683,226,6985
684,226,8814
685,227,1069
686,227,5223
687,228,2013
688,228,3135
689,228,6465
690,228,6977
691,228,5219
692,228,3160
693,229,5785
694,229,5999
695,229,3704
696,229,7786
697,229,9203
698,230,3100
699,230,8257
700,230,8743
701,230,789
702,231,6799
703,231,9104
704,232,549
705,232,7855
706,232,2302
707,232,5169
708,233,8935
709,233,4711
710,233,5575
711,234,6790
712,234,2747
713,234,234
714,234,7633
715,235,2817
716,235,7791
717,236,8111
718,236,3394
719,237,2171
720,237,5252
721,238,7291
722,238,4720
723,239,2807
724,239,2527
725,239,3609
726,239,859
727,240,3011
728,240,3963
729,241,5130
730,241,3126
731,242,5367
732,242,6636
733,242,8435
734,243,8794
735,243,1887
736,243,1213
737,243,8527
738,243,1911
739,243,1354
740,243,3867
741,244,8361
742,244,1956
743,244,3076
744,244,7079
745,244,906
746,245,1918
747,245,9261
748,246,7324
749,246,3314
750,247,9048
751,247,5743
752,248,4517
753,248,8645
754,249,837
755,249,6319
756,249,8449
757,249,6979
758,250,6843
759,250,1454
760,251,2375
761,251,4888
762,252,509
763,252,8895
764,253,317
765,253,2294
766,254,2943
767,254,362
768,254,7655
769,254,4877
770,254,4405
771,255,7498
772,255,1471
773,256,1700
774,256,5712
775,256,6141
776,256,9245
777,256,5418
778,256,3881
779,257,5100
780,257,7954
781,258,2783
782,258,6426
783,259,5737
784,259,1807
785,260,5543
786,260,260
787,261,4058
788,261,2938
789,261,8455
790,261,1066
791,261,7311
792,261,2375
793,262,7247
794,262,5301
795,262,8714
796,262,4287
797,262,1637
798,263,2737
799,263,4074
800,263,9129
801,264,1395
802,264,968
803,264,5297
804,264,1113
805,265,4762
806,265,8862
807,265,2995
808,265,1668
809,265,3187
810,265,1324
811,265,265
812,265,3779
813,266,8931
814,266,8069
815,267,5248
816,267,6198
817,268,2900
818,268,8606
819,268,6381
820,269,7539
821,269,5621
822,270,3122
823,270,1949
824,270,9112
825,270,8939
826,270,8564
827,271,1333
828,271,5918
829,271,1055
830,272,2032
831,272,5447
832,273,4418
833,273,6550
834,273,2870
835,273,8175
836,273,8970
837,273,8227
838,273,4830
839,273,2246
840,274,4400
841,274,7531
842,275,8389
843,275,8111
844,275,9222
845,275,8532
846,275,7434
847,276,6554
848,276,5842
849,276,1533
850,276,8072
851,276,3602
852,277,2192
853,277,7347
854,278,6440
855,278,6414
856,278,1815
857,278,1974
858,279,889
859,279,337
860,280,5639
861,280,1339
862,281,1664
863,281,996
864,281,7773
865,281,4652
866,282,3467
867,282,282
868,282,1468
869,283,3049
870,283,4656
871,283,6309
872,283,3680
873,283,9216
874,284,7898
875,284,6525
876,285,7841
877,285,346
878,285,3547
879,285,5361
880,286,4265
881,286,4353
882,286,8268
883,287,4880
884,287,2493
885,287,7153
886,288,1908
887,288,309
888,288,726
889,288,1970
890,289,4330
891,289,2375
892,289,3008
893,289,7311
894,290,5290
895,290,8082
896,291,2234
897,292,1726
898,292,7710
899,293,7009
900,293,4537
901,294,8351
902,295,7477
903,295,5107
904,295,1931
905,296,6167
906,296,3338
907,297,1407
908,297,5491
909,298,8767
910,298,8530
911,298,2135
912,298,3138
913,298,2672
914,299,1981
915,299,3984
916,300,1156
917,300,300
918,300,6353
919,300,8738
920,300,1404
921,300,3429
922,301,6753
923,301,2592
924,301,2555
925,302,2751
926,302,5684
927,303,1803
928,303,7240
929,303,5816
930,303,4017
931,304,1505
932,304,5798
933,305,6893
934,305,1926
935,306,8366
936,306,6332
937,307,2760
938,307,6616
939,308,1094
940,308,5785
941,308,3277
942,308,5312
943,309,1970
944,309,6414
945,309,726
946,310,3598
947,311,8014
948,311,4168
949,312,803
950,312,6047
951,312,6012
952,312,658
953,312,4391
954,313,3238
955,313,6869
956,313,6965
957,314,4502
958,314,2322
959,314,3191
960,314,8491
961,314,3144
962,315,4575
963,315,7494
964,316,5382
965,316,7654
966,316,5037
967,317,6482
968,318,4888
969,318,1233
970,319,7322
971,319,8873
972,319,8771
973,320,6458
974,320,8060
975,320,8527
976,320,320
977,320,3359
978,320,2274
979,321,3455
980,321,321
981,321,1957
982,322,2444
983,322,6762
984,323,600
985,323,5778
986,323,323
987,323,7340
988,323,9256
989,323,2143
990,324,6248
991,324,2437
992,324,2134
993,324,4180
994,324,8542
995,325,8925
996,325,6169
997,325,5759
998,325,6608
999,325,1845
1000,326,3172
1001,326,5438
1002,327,2254
1003,327,7899
1004,328,8131
1005,328,1726
1006,329,3642
1007,329,4746
1008,329,2244
1009,330,2126
1010,330,983
1011,330,5493
1012,330,340
1013,331,7585
1014,331,7313
1015,332,692
1016,332,713
1017,332,3836
1018,333,985
1019,333,907
1020,334,6775
1021,334,9092
1022,334,2447
1023,335,7761
1024,335,9144
1025,335,8297
1026,335,3249
1027,335,3140
1028,336,5294
1029,336,2918
1030,336,5421
1031,337,7678
1032,337,6533
1033,337,6067
1034,338,5184
1035,338,3041
1036,339,8058
1037,339,3849
1038,341,7538
1039,341,1148
1040,341,6862
1041,342,7252
1042,342,3571
1043,343,2484
1044,343,4646
1045,344,7839
1046,344,6347
1047,345,4170
1048,345,3102
1049,346,5109
1050,346,4380
1051,346,3177
1052,346,6967
1053,346,5707
1054,347,3968
1055,347,4674
1056,348,6339
1057,349,8788
1058,349,8397
1059,350,960
1060,350,1635
1061,350,860
1062,350,7776
1063,350,2600
1064,350,5819
1065,351,8778
1066,351,5810
1067,351,1706
1068,351,1655
1069,351,5944
1070,351,7214
1071,352,7713
1072,352,2891
1073,353,7683
1074,353,4921
1075,354,1834
1076,354,384
1077,354,4814
1078,354,1477
1079,354,7339
1080,355,8114
1081,355,2740
1082,356,7756
1083,356,4754
1084,357,5253
1085,357,2108
1086,357,1115
1087,357,7260
1088,357,3558
1089,357,1476
1090,357,8685
1091,357,4033
1092,357,4360
1093,358,7854
